"Code_temporaire","Annee_id","Annee_code","Diplome_code","Classe_id","Classe_code","Classe_libelle","Actif_source","Actif_propose","Ordre","Classification","Ambiguite"
"2026-2027__CLASSE_18","1","2026-2027","MVA","18","2MVA2","2MVA2","true","true","18","Correspondance probable à valider","Deux classes MVA partagent la période."
"2026-2027__CLASSE_19","1","2026-2027","REMI","19","2REMI1","2REMI1","true","true","19","Correspondance probable à valider","Deux classes REMI partagent la période."
"2026-2027__CLASSE_20","1","2026-2027","REMI","20","2REMI2","2REMI2","true","true","20","Correspondance probable à valider","Deux classes REMI partagent la période."
"2026-2027__CLASSE_23","1","2026-2027","CAP_CAR","23","TCAP_CAR","TCAP CAR","true","true","21","Correspondance probable à valider","Le code classe contient CAP CAR, la période utilise le niveau T CA."
"2026-2027__CLASSE_24","1","2026-2027","CAR","24","TCAR","TCAR","true","true","22","Correspondance probable à valider","CAR dans la classe, CPA dans le planning."
"2026-2027__CLASSE_25","1","2026-2027","CIEL","25","TCIEL","TCIEL","true","true","23","Correspondance probable à valider","Spécialité identique ; année déduite."
"2026-2027__CLASSE_26","1","2026-2027","MELEC","26","TMELEC","TMELEC","true","true","24","Correspondance probable à valider","Plusieurs classes MELEC partagent les périodes."
"2026-2027__CLASSE_27","1","2026-2027","MELEC","27","TMELEC_G","TMELEC G","true","true","25","Correspondance probable à valider","Classe suffixée G et doublon actif portant le même nom."
"2026-2027__CLASSE_28","1","2026-2027","MP3D","28","TMP3D","TMP3D","true","true","26","Correspondance probable à valider","Spécialité identique ; année déduite."
"2026-2027__CLASSE_29","1","2026-2027","MT","29","TMT","TMT","true","true","27","Correspondance probable à valider","Spécialité identique ; année déduite."
"2026-2027__CLASSE_30","1","2026-2027","MVA","30","TMVA1","TMVA1","true","true","28","Correspondance probable à valider","Deux classes MVA partagent les périodes."
"2026-2027__CLASSE_31","1","2026-2027","MVA","31","TMVA2","TMVA2","true","true","29","Correspondance probable à valider","Deux classes MVA partagent les périodes."
"2026-2027__CLASSE_32","1","2026-2027","RMO","32","TRMO","TRMO","true","true","30","Correspondance probable à valider","Spécialité identique ; année déduite."
"2026-2027__CLASSE_33","1","2026-2027","RSP","33","TRSP","TRSP","true","true","31","Correspondance probable à valider","Spécialité identique ; année déduite."
"2026-2027__CLASSE_34","1","2026-2027","TPMMA","34","","TPMMA","true","true","32","Correspondance impossible à déterminer","Aucune période et aucune formation renseignée."
"2026-2027__CLASSE_35","1","2026-2027","TSEC","35","","TSEC","true","true","33","Correspondance probable à valider","Formation Ducretet/TSEC trouvée, mais aucune période de type PFMP ou Stage."
"2026-2027__CLASSE_36","1","2026-2027","CQPM_ASC","36","","CQPM ASC","true","true","34","Correspondance impossible à déterminer","Aucune période et aucune formation renseignée."
"2026-2027__CLASSE_37","1","2026-2027","MELEC","37","","1MELEC G","true","true","35","Correspondance impossible à déterminer","Doublon actif exact de la classe 1MELEC G."
"2026-2027__CLASSE_38","1","2026-2027","MELEC","38","","TMELEC G","true","true","36","Correspondance impossible à déterminer","Doublon actif exact de la classe TMELEC G."
"2026-2027__CLASSE_39","1","2026-2027","BTS_ELEC","39","","1BTS ELEC Alt","true","true","37","Correspondance probable à valider","Classe et période contiennent BTS/ELEC ; suffixe Alt à confirmer."
"2026-2027__CLASSE_40","1","2026-2027","BTS_ELEC","40","","2BTS ELEC Alt","true","true","38","Correspondance impossible à déterminer","Aucune période 2BTS ELEC trouvée."
