"Libelle_utilisateur","Classe_Grist_ID","Code_Grist","Libelle_Grist","Annee_scolaire","Diplome_propose","Statut_propose","Periodes_Grist_IDs","Afficher_formulaire_PFMP","Niveau_confiance","Commentaire"
"TCAP CAR","23","TCAP_CAR","TCAP CAR","2026-2027 (déduite)","CAP_CAR","Scolaire ou Apprenti (choix utilisateur)","284|287","true","Correspondance exacte",""
"TCAR","24","TCAR","TCAR","2026-2027 (déduite)","BAC_PRO_CAR","Scolaire ou Apprenti (choix utilisateur)","10|62","true","Correspondance exacte",""
"TCIEL","25","TCIEL","TCIEL","2026-2027 (déduite)","BAC_PRO_CIEL","Scolaire ou Apprenti (choix utilisateur)","9|61","true","Correspondance exacte",""
"TMELEC","26","TMELEC","TMELEC","2026-2027 (déduite)","BAC_PRO_MELEC","Scolaire ou Apprenti (choix utilisateur)","12|64","true","Correspondance exacte",""
"TMP3D","28","TMP3D","TMP3D","2026-2027 (déduite)","BAC_PRO_MP3D","Scolaire ou Apprenti (choix utilisateur)","13|65","true","Correspondance exacte",""
"TMT","29","TMT","TMT","2026-2027 (déduite)","BAC_PRO_MT","Scolaire ou Apprenti (choix utilisateur)","14|66","true","Correspondance exacte",""
"TMVA1","30","TMVA1","TMVA1","2026-2027 (déduite)","BAC_PRO_MVA","Scolaire ou Apprenti (choix utilisateur)","11|63","true","Correspondance exacte",""
"TMVA2","31","TMVA2","TMVA2","2026-2027 (déduite)","BAC_PRO_MVA","Scolaire ou Apprenti (choix utilisateur)","11|63","true","Correspondance exacte",""
"TRMO","32","TRMO","TRMO","2026-2027 (déduite)","BAC_PRO_RMO","Scolaire ou Apprenti (choix utilisateur)","15|67","true","Correspondance exacte",""
"TRSP","33","TRSP","TRSP","2026-2027 (déduite)","BAC_PRO_RSP","Scolaire ou Apprenti (choix utilisateur)","16|68","true","Correspondance exacte",""
"1BTS CPI","","","","2026-2027 (déduite)","BTS_CPI","Scolaire ou Apprenti (choix utilisateur)","273","true","Classe introuvable","Classe absente de la table Classes."
"2BTS CPI","","","","2026-2027 (déduite)","BTS_CPI","Scolaire ou Apprenti (choix utilisateur)","","true","Classe introuvable","Classe absente de la table Classes. Aucune période scolaire officielle identifiée. Calendrier partagé Mixité trouvé dans les lignes ENT., sans Stage BTS scolaire."
"1BTS CPRP","","","","2026-2027 (déduite)","BTS_CPRP","Scolaire ou Apprenti (choix utilisateur)","272","true","Classe introuvable","Classe absente de la table Classes."
"2BTS CPRP","","","","2026-2027 (déduite)","BTS_CPRP","Scolaire ou Apprenti (choix utilisateur)","","true","Classe introuvable","Classe absente de la table Classes. Aucune période scolaire officielle identifiée. Calendrier partagé Mixité trouvé dans les lignes ENT., sans Stage BTS scolaire."
"1BTS MV","","","","2026-2027 (déduite)","BTS_MV","Scolaire ou Apprenti (choix utilisateur)","275|278","true","Classe introuvable","Classe absente de la table Classes. ID 278 est une période Stage BTS en modalité Mixité/apprentissage."
"2BTS MV","","","","2026-2027 (déduite)","BTS_MV","Scolaire ou Apprenti (choix utilisateur)","277","true","Classe introuvable","Classe absente de la table Classes."
"1BTS ELEC","39","","1BTS ELEC Alt","2026-2027 (déduite)","BTS_ELEC","Scolaire ou Apprenti (choix utilisateur)","274","true","Correspondance normalisée certaine",""
"2BTS ELEC","40","","2BTS ELEC Alt","2026-2027 (déduite)","BTS_ELEC","Scolaire ou Apprenti (choix utilisateur)","","true","Correspondance normalisée certaine","Aucune période scolaire officielle identifiée."
"1BTS CIEL","","","","2026-2027 (déduite)","BTS_CIEL","Scolaire ou Apprenti (choix utilisateur)","271","true","Classe introuvable","Classe absente de la table Classes."
"2BTS CIEL","","","","2026-2027 (déduite)","BTS_CIEL","Scolaire ou Apprenti (choix utilisateur)","","true","Classe introuvable","Classe absente de la table Classes. Aucune période scolaire officielle identifiée."
